gml_id,idurba,nom,etiquette,etiquetmin,siren_nom,siren,nat_jurid,siren_nom2,siren2,nat_jurid2,etat,etat_txt,anneeappro,datappro,datefin,proc_cours,etat_proc,typeproc,typeproc_t,typeproc_d,diag_d,padd_d,doo_d,arret_d,delibreg,delibreg_d,siteweb,siteweb2,dialogue_n,dialogue_t,sdci,nbre_com,pop,surf_km2,info_compl,modif_date,typedoc,padd,rapport,doo,urlrapport,urlpadd,urldoo,urlpe,metadata
scot_approuves.246000871_SCOT_20180307,246000871_SCOT_20180307,SCOT DU PAYS DU VALOIS,PAYS DU VALOIS,Pays du Valois,CC DU PAYS DE VALOIS,246000871,Communauté de communes,,,,3,Opposable,2018,07/03/2018,,,,,,,,,,06/07/2017,20171167,29/09/2017,https://www.cc-paysdevalois.fr/environnement-et-amenagement/amenagement-territoire-urbanisme/scot/,,6,Oise,,62,56216,618,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.240200469_SCOT_20180704,240200469_SCOT_20180704,SCOT DU PAYS DE LA SERRE,PAYS DE LA SERRE,Pays de la Serre,COMMUNAUTE DE COMMUNES DU PAYS DE LA SERRE,240200469,Communauté de communes,,,,3,Opposable,2018,04/07/2018,,,,,,,,,,03/07/2017,20171166,29/09/2017,https://www.paysdelaserre.fr/amenager-le-territoire/schema-de-coherence-territoriale/,,7,Aisne Sud,,42,14951,432,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.200051100_SCOT_20150618,200051100_SCOT_20150618,SCOT UCCSA,UCCSA,Uccsa,PETR - UCCSA (UNION DES CC DU SUD DE L'AISNE),200051100,Pôle d'équilibre territorial et rural (PETR),,,,3,Opposable,2015,18/06/2015,,,,,,,,,,20/02/2014,,20/06/2014,https://www.uccsa.fr/-SCoT-28-,,7,Aisne Sud,,108,71226,1126,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000855_SCOT_20130626,246000855_SCOT_20130626,SCOT DU PAYS DES SOURCES,PAYS DES SOURCES,Pays des Sources,COMMUNAUTE DE COMMUNES PAYS DES SOURCES,246000855,Communauté de communes,,,,3,Opposable,2013,26/06/2013,,,,,,,,,,27/06/2012,,,https://www.cc-pays-sources.fr/amenagement-et-cadre-de-vie/urbanisme/scot/le-schema-de-coherence-territoriale-scot/,,6,Oise,,48,22622,354,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.240200501_SCOT_20190228,240200501_SCOT_20190228,SCOT DU VAL DE L'AISNE,VAL DE L'AISNE,Val de l'Aisne,COMMUNAUTE DE COMMUNES DU VAL DE L'AISNE,240200501,Communauté de communes,,,,3,Opposable,2019,28/02/2019,,,,,,,,,,11/01/2018,20180406,27/03/2018,https://scot.cc-valdeaisne.fr/wordpress/,,7,Aisne Sud,,58,20773,397,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.255902850_SCOT_20191217,255902850_SCOT_20191217,SCOT DU GRAND-DOUAISIS,GRAND-DOUAISIS,Grand-Douaisis,SYNDICAT MIXTE POUR LE SCHEMA DE COHERENCE TERRITORIALE DU GRAND DOUAISIS,255902850,Syndicat mixte fermé,,,,3,Opposable,2019,17/12/2019,,,,2,Révision,15/10/2015,01/06/2017,29/05/2018,,26/03/2019,201901426,17/12/2019,https://grand-douaisis.com/scot-mixte-presentation/,,3,Artois - Artois Douaisis,,55,224005,374,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000707_SCOT_20141216,246000707_SCOT_20141216,SCOT DU VEXIN THELLE,VEXIN THELLE,Vexin Thelle,COMMUNAUTE DE COMMUNES DU VEXIN THELLE,246000707,Communauté de communes,,,,3,Opposable,2014,16/12/2014,,,,,,,,,,21/01/2014,,26/09/2014,https://www.vexinthelle.com/index.php/nos-competences/amenagement-de-l-espace/scot,,6,Oise,,37,20137,315,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000913_SCOT_20121113,246000913_SCOT_20121113,SCOT DU PAYS DE BRAY,PAYS DE BRAY,Pays de Bray,COMMUNAUTE DE COMMUNES DU PAYS DE BRAY,246000913,Communauté de communes,,,,3,Opposable,2012,13/11/2012,,,,,,,,,,14/12/2011,,,https://cc-paysdebray.com/amenagement-du-territoire/scot/documents,,6,Oise,,23,18866,247,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.240200576_SCOT_20190411,240200576_SCOT_20190411,SCOT DE LA CHAMPAGNE PICARDE,CHAMPAGNE PICARDE,Champagne Picarde,COMMUNAUTE DE COMMUNES CHAMPAGNE PICARDE,240200576,Communauté de communes,,,,3,Opposable,2019,11/04/2019,,,,,,,,,,10/04/2018,20181041,03/07/2018,https://www.cc-champagnepicarde.fr/amenagement/urbanisme/schema-de-coherence-territoriale-scot-champagne-picarde,,7,Aisne Sud,,46,18804,583,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000848_SCOT_20140320,246000848_SCOT_20140320,SCOT DE LA PICARDIE VERTE,PICARDIE VERTE,Picardie verte,COMMUNAUTE DE COMMUNES DE PICARDIE VERTE,246000848,Communauté de communes,,,,3,Opposable,2014,20/03/2014,,,,,,,,,,20/06/2013,,05/03/2020,http://www.picardieverte.com/wp20/urbanisme-habitat/scot/,,6,Oise,,88,31548,633,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
